"UMAP1","UMAP2","Cluster","pathways","Level1","Level2","Level3","Mean_Dark","Mean_IR","Mean_All","Mean_Initial","log_Mean_Dark","log_Mean_All","log_Mean_IR","log_Mean_Initial"
16.3812231608713,40.9042758255747,"Cluster 4","Alcoholic liver disease","Human Diseases","Endocrine and metabolic disease","Alcoholic liver disease",100354.666666667,91162.6666666667,94338,85814,5.00154190031709,4.97469126838219,4.95982178448855,4.93356320682135
18.682938452995,45.6170814699963,"Cluster 4","Taurine and hypotaurine metabolism","Metabolism","Metabolism of other amino acids","Taurine and hypotaurine metabolism",98695.3333333333,98956,97173.1428571429,87258,4.99430101849862,4.9875507185438,4.99544652066315,4.94081023160553
20.0651372904084,45.5902876146203,"Cluster 4","Alzheimer disease","Human Diseases","Neurodegenerative disease","Alzheimer disease",96520,102336,95201.7142857143,69844,4.98462181274185,4.97864933055363,5.01003268151882,4.84413532168667
19.4533751832515,42.1452685056995,"Cluster 4","Necroptosis","Cellular Processes","Cell growth and death","Necroptosis",92017.3333333333,88624.6666666667,89243.7142857143,82780,4.96387436291387,4.95058250350103,4.94755951508608,4.91793066840273
20.9802669242075,46.1682513023637,"Cluster 4","Salmonella infection","Human Diseases","Infectious disease: bacterial","Salmonella infection",94332,95933.3333333333,91385.7142857143,68904,4.97466364619244,4.96088306300085,4.98197406190196,4.83825073705454
22.0671430861578,47.1787684409835,"Cluster 4","Platinum drug resistance","Human Diseases","Drug resistance: antineoplastic","Platinum drug resistance",95945.3333333333,92845.3333333333,91779.1428571429,76082,4.98202838247402,4.96274872934492,4.96776475735374,4.88128762876846
21.4177783898141,39.0331877153479,"Cluster 4","Glucagon signaling pathway","Organismal Systems","Endocrine system","Glucagon signaling pathway",87448.6666666667,83774,85165.7142857143,82492,4.94175815841043,4.9302698925771,4.92311443650731,4.91641709775777
22.4748398043498,44.4987373043254,"Cluster 4","Inositol phosphate metabolism","Metabolism","Carbohydrate metabolism","Inositol phosphate metabolism",86531.3333333333,91290.6666666667,89876,95666,4.93717841456825,4.95364856769469,4.9604311358491,4.98076215523288
23.4387351844282,45.3903858336389,"Cluster 4","Vitamin B6 metabolism","Metabolism","Metabolism of cofactors and vitamins","Vitamin B6 metabolism",87619.3333333333,92499.3333333333,87634.2857142857,73084,4.94260490102832,4.94267900691537,4.96614329776137,4.86382825129857
21.3630036356448,41.9082118897215,"Cluster 4","Amyotrophic lateral sclerosis","Human Diseases","Neurodegenerative disease","Amyotrophic lateral sclerosis",90459.3333333333,97207.3333333333,90245.4285714286,68718,4.95645818372563,4.95543002406898,4.98770349708215,4.83707683100884
21.8753686528654,43.3623028980851,"Cluster 4","Pathways in cancer","Human Diseases","Cancer: overview","Pathways in cancer",91880,89063.3333333333,87401.7142857143,68982,4.9632257132548,4.94152491983125,4.94970382145961,4.83874207746418
24.2205000726181,40.5121968945075,"Cluster 4","Legionellosis","Human Diseases","Infectious disease: bacterial","Legionellosis",85798,83728,84218.2857142857,80950,4.93348222611196,4.92541155373516,4.92287590433292,4.90822221802824
24.7945968922445,43.566914664795,"Cluster 4","Pathways of neurodegeneration - multiple diseases","Human Diseases","Neurodegenerative disease","Pathways of neurodegeneration - multiple diseases",88134,90094,86298,69402,4.94514840884688,4.93600576330503,4.95470068961765,4.84137824358578
23.0569923833286,34.2440853173292,"Cluster 4","Chloroalkane and chloroalkene degradation","Metabolism","Xenobiotics biodegradation and metabolism","Chloroalkane and chloroalkene degradation",81850,72843.3333333333,78515.4285714286,85528,4.91302398969578,4.89496053689083,4.86239577302043,4.93211339431346
26.2946555521384,36.0974797335937,"Cluster 4","Pinene, camphor and geraniol degradation","Metabolism","Metabolism of terpenoids and polyketides","Pinene, camphor and geraniol degradation",79924.6666666667,84031.3333333333,78793.7142857143,59688,4.90268626744541,4.89649708508421,4.92444642280447,4.77589430299756
26.0129190396963,38.3649128202112,"Cluster 4","Parkinson disease","Human Diseases","Neurodegenerative disease","Parkinson disease",81714.6666666667,80662,79374.5714285714,68492,4.91230532819226,4.89968686481823,4.90667437015384,4.83564618876665
24.6630550557636,36.4650685735327,"Cluster 4","Huntington disease","Human Diseases","Neurodegenerative disease","Huntington disease",79270,85505.3333333333,79714.8571428571,63678,4.89911433683277,4.90154472019969,4.93199828349837,4.80399623472503
24.610041314647,32.8427926480158,"Cluster 4","Protein digestion and absorption","Organismal Systems","Digestive system","Protein digestion and absorption",75654.6666666667,83300.6666666667,74715.4285714286,46142,4.87884146256273,4.87341610453908,4.92065369068524,4.66410582687972
29.0007774342205,37.0988684396458,"Cluster 4","Fluid shear stress and atherosclerosis","Human Diseases","Cardiovascular disease","Fluid shear stress and atherosclerosis",77352,77502.6666666667,75107.7142857143,61190,4.88847716170934,4.87569032777173,4.88932224928607,4.78668755061344
14.6244536586276,18.0432186162058,"Cluster 4","Sphingolipid metabolism","Metabolism","Lipid metabolism","Sphingolipid metabolism",72390,61241.3333333333,70797.1428571429,94686,4.85968457595822,4.85002186563506,4.78705172896428,4.97629035687215
30.5369141789194,37.0680719524368,"Cluster 4","RNA polymerase","Genetic Information Processing","Transcription","RNA polymerase",70554.6666666667,77454,72430,62984,4.84853189978043,4.85992448121734,4.88904945827753,4.79923713369362
30.3603375379312,33.8065972355472,"Cluster 4","Drug metabolism - cytochrome P450","Metabolism","Xenobiotics biodegradation and metabolism","Drug metabolism - cytochrome P450",73886,69836.6666666667,71999.7142857143,72830,4.86856803345692,4.8573368048869,4.84408972080749,4.86231627303954
32.4898710305601,36.6610022846691,"Cluster 4","Novobiocin biosynthesis","Metabolism","Biosynthesis of other secondary metabolites","Novobiocin biosynthesis",69923.3333333333,74794,70895.7142857143,62118,4.84462833444957,4.85062610823456,4.87387256651435,4.79322445578193
27.4430304286956,28.0487306264768,"Cluster 4","Tuberculosis","Human Diseases","Infectious disease: bacterial","Tuberculosis",67875.3333333333,65024,68692.5714285714,82150,4.83171837377365,4.83691609624833,4.81308036086791,4.91461285434246
24.8474250113538,23.8065452698748,"Cluster 3","Ferroptosis","Cellular Processes","Cell growth and death","Ferroptosis",65188.6666666667,58679.3333333333,64136,77348,4.81417876037448,4.80710864199847,4.76849257218583,4.88845470333223
16.340292446957,19.6158462234647,"Cluster 4","Acarbose and validamycin biosynthesis","Metabolism","Biosynthesis of other secondary metabolites","Acarbose and validamycin biosynthesis",68810,59625.3333333333,64712.2857142857,67680,4.83765786930296,4.81099345099446,4.77543810362611,4.8304667668642
26.79750165238,30.0547530961006,"Cluster 4","Antifolate resistance","Human Diseases","Drug resistance: antineoplastic","Antifolate resistance",68472,73090,67430.5714285714,47328,4.83551935598042,4.82886328061398,4.86386390375716,4.67512732848934
33.1515115734873,35.5176831657854,"Cluster 4","MAPK signaling pathway - plant","Environmental Information Processing","Signal transduction","MAPK signaling pathway - plant",70684.6666666667,71837.3333333333,69302,57548,4.84933135837032,4.8407520348318,4.85635624803936,4.76003778151481
32.0062822200388,33.0151792876347,"Cluster 4","Metabolism of xenobiotics by cytochrome P450","Metabolism","Xenobiotics biodegradation and metabolism","Metabolism of xenobiotics by cytochrome P450",70436.6666666667,66886,68546.2857142857,67856,4.84780496100087,4.83599026258802,4.82534171751544,4.83159465530547
27.5541353319553,25.337740018815,"Cluster 3","Insulin resistance","Human Diseases","Endocrine and metabolic disease","Insulin resistance",62396.6666666667,59195.3333333333,64706.8571428571,88172,4.7951683497347,4.81095701801968,4.77229480701993,4.94533561748821
29.3395753972661,25.7767034716726,"Cluster 3","Aminobenzoate degradation","Metabolism","Xenobiotics biodegradation and metabolism","Aminobenzoate degradation",65312,56624.6666666667,61870,67280,4.81499963252087,4.79148713543122,4.75301332809727,4.82789243777283
18.259912310332,20.1554446086046,"Cluster 4","Glycosaminoglycan degradation","Metabolism","Glycan biosynthesis and metabolism","Glycosaminoglycan degradation",66012,60121.3333333333,62891.1428571429,61838,4.8196294699708,4.79859639223496,4.7790358271066,4.79126245798023
26.8886387563041,22.5219402096898,"Cluster 3","Adipocytokine signaling pathway","Organismal Systems","Endocrine system","Adipocytokine signaling pathway",58878,54170.6666666667,58703.4285714286,71778,4.7699604253415,4.76867086498845,4.7337721974665,4.85599740360008
22.1272012301237,23.1974194530326,"Cluster 4","Pertussis","Human Diseases","Infectious disease: bacterial","Pertussis",67418,67510,63053.4285714286,36590,4.82878230651033,4.79971559426504,4.82937454098046,4.56337427853682
36.9444550487402,32.6298200190035,"Cluster 3","Tropane, piperidine and pyridine alkaloid biosynthesis","Metabolism","Biosynthesis of other secondary metabolites","Tropane, piperidine and pyridine alkaloid biosynthesis",63154.6666666667,66189.3333333333,63248,54704,4.80041232388032,4.80105366347766,4.82079456819294,4.73802702236946
38.0075934965387,29.6498506325777,"Cluster 3","Mineral absorption","Organismal Systems","Digestive system","Mineral absorption",59880,61410,59931.4285714286,55650,4.77728904435731,4.77766187645838,4.78824616937282,4.74547297263443
38.4799402137483,31.1611714688571,"Cluster 3","Prion disease","Human Diseases","Neurodegenerative disease","Prion disease",62815.3333333333,63710.6666666667,61324.2857142857,49692,4.79807258249905,4.78763958025957,4.80421896616616,4.69629521618842
40.6274294706677,31.0461813054525,"Cluster 3","Caprolactam degradation","Metabolism","Xenobiotics biodegradation and metabolism","Caprolactam degradation",61436.6666666667,66095.3333333333,61589.4285714286,48530,4.78843471332173,4.78951322609965,4.82017736784769,4.68601924021303
19.5114388279521,16.1510473812742,"Cluster 3","Arabinogalactan biosynthesis - Mycobacterium","Metabolism","Glycan biosynthesis and metabolism","Arabinogalactan biosynthesis - Mycobacterium",55238.6666666667,47993.3333333333,53124.2857142857,62174,4.74225104924649,4.7253012787535,4.68118996347261,4.79361579394197
27.9029833420063,20.6342469610249,"Cluster 3","Retinol metabolism","Metabolism","Metabolism of cofactors and vitamins","Retinol metabolism",54033.3333333333,50478,54019.1428571429,64600,4.73266979758345,4.73255572835174,4.70311074285288,4.81023924076785
41.4549256585145,28.5863043444171,"Cluster 3","Biosynthesis of unsaturated fatty acids","Metabolism","Lipid metabolism","Biosynthesis of unsaturated fatty acids",58674,61752,57478.5714285714,41072,4.76845309827063,4.75951352134631,4.79065806074624,4.61355642517804
41.9451005898669,30.1750508939894,"Cluster 3","Styrene degradation","Metabolism","Xenobiotics biodegradation and metabolism","Styrene degradation",59299.3333333333,59570,57567.7142857143,46366,4.77305713458552,4.76018653022194,4.77503489052753,4.66620899743573
30.7465759502343,22.5887721959551,"Cluster 3","Lipid and atherosclerosis","Human Diseases","Cardiovascular disease","Lipid and atherosclerosis",55462,53304.6666666667,54656.8571428571,56298,4.74400335691527,4.73765260120818,4.7267733792189,4.75050068084888
17.588451338961,15.1684431213714,"Cluster 3","Other glycan degradation","Metabolism","Glycan biosynthesis and metabolism","Other glycan degradation",56967.3333333333,49456.6666666667,53729.1428571429,56832,4.75563351391474,4.73021799526786,4.69423362319198,4.75460058141967
41.6794435218609,26.8680823839125,"Cluster 3","Biosynthesis of various plant secondary metabolites","Metabolism","Biosynthesis of other secondary metabolites","Biosynthesis of various plant secondary metabolites",52977.3333333333,60572,55517.4285714286,47974,4.72409829153158,4.7444371650762,4.78227908350615,4.68101498340751
42.1120741181195,24.4897227294227,"Cluster 3","Phosphatidylinositol signaling system","Environmental Information Processing","Signal transduction","Phosphatidylinositol signaling system",52071.3333333333,54833.3333333333,51749.4285714286,41532,4.71660703861456,4.71391395075573,4.73905256775822,4.61839330208002
43.8722711676684,24.7526168568971,"Cluster 3","Glutamatergic synapse","Organismal Systems","Nervous system","Glutamatergic synapse",52542.6666666667,55177.3333333333,51911.4285714286,40220,4.72052037597836,4.71527134655365,4.74176857843624,4.60445286409968
41.2587926153662,24.9988526827358,"Cluster 3","Renin-angiotensin system","Organismal Systems","Endocrine system","Renin-angiotensin system",55102,66302.6666666667,55622.5714285714,25144,4.74117524400566,4.74525887021541,4.82153754603778,4.40045163995695
26.498477687407,15.5949317788889,"Cluster 3","Isoquinoline alkaloid biosynthesis","Metabolism","Biosynthesis of other secondary metabolites","Isoquinoline alkaloid biosynthesis",47986,44549.3333333333,46151.1428571429,45452,4.68112360002263,4.6641918702466,4.64885095785181,4.65756255291438
37.7450530394257,20.805187768455,"Cluster 3","MicroRNAs in cancer","Human Diseases","Cancer: overview","MicroRNAs in cancer",53325.3333333333,56043.3333333333,51054.5714285714,29276,4.72694172304448,4.70804314130361,4.74853170744881,4.46652657272118
24.6941932360377,15.0315949954806,"Cluster 3","N-Glycan biosynthesis","Metabolism","Glycan biosynthesis and metabolism","N-Glycan biosynthesis",47664.6666666667,43794.6666666667,45633.4285714286,45056,4.67820567157678,4.65929261671936,4.64143114164895,4.65376227201233
39.0086424826063,20.2500138138733,"Cluster 3","Pathogenic Escherichia coli infection","Human Diseases","Infectious disease: bacterial","Pathogenic Escherichia coli infection",50395.3333333333,50436.6666666667,47917.7142857143,32928,4.70239893979814,4.68050515691651,4.702754987155,4.51757854209739
21.0834164268442,11.8826144432528,"Cluster 3","Lipoarabinomannan (LAM) biosynthesis","Metabolism","Glycan biosynthesis and metabolism","Lipoarabinomannan (LAM) biosynthesis",44926,36272.6666666667,43461.4285714286,60634,4.6525074195513,4.6381139899482,4.55959145777548,4.78272338190603
42.4007612518734,22.6778926484008,"Cluster 3","Chemical carcinogenesis - receptor activation","Human Diseases","Cancer: overview","Chemical carcinogenesis - receptor activation",50101.3333333333,51424,48811.4285714286,37104,4.69985795201883,4.68853041570676,4.71117430036676,4.56943243592494
41.694213224313,21.5652893414041,"Cluster 3","Non-alcoholic fatty liver disease","Human Diseases","Endocrine and metabolic disease","Non-alcoholic fatty liver disease",49215.3333333333,49683.3333333333,48252.2857142857,41070,4.69210925519334,4.68352689113057,4.69621946681191,4.61353527721924
28.9855856567325,15.4647945057915,"Cluster 3","Fat digestion and absorption","Organismal Systems","Digestive system","Fat digestion and absorption",44299.3333333333,41554,43515.4285714286,47048,4.64640699403983,4.63865324525245,4.61862328664638,4.67255039717672
20.7457299020485,13.1107170556343,"Cluster 3","Biosynthesis of enediyne antibiotics","Metabolism","Metabolism of terpenoids and polyketides","Biosynthesis of enediyne antibiotics",47619.3333333333,37765.3333333333,44152.2857142857,52912,4.6777924310588,4.64496302760753,4.57710482198929,4.72356238535573
29.6906875966568,14.5269700166373,"Cluster 3","Naphthalene degradation","Metabolism","Xenobiotics biodegradation and metabolism","Naphthalene degradation",44601.3333333333,40199.3333333333,43727.7142857143,51692,4.64935757905484,4.64076670838011,4.60422965418465,4.71343173715199
24.0294479302261,13.0710491689963,"Cluster 3","Glucosinolate biosynthesis","Metabolism","Biosynthesis of other secondary metabolites","Glucosinolate biosynthesis",45708.6666666667,40626.6666666667,42937.1428571429,41554,4.66000805425028,4.63284325658051,4.60882188058656,4.61862328664638
41.2131855809608,18.4767775337204,"Cluster 3","GABAergic synapse","Organismal Systems","Nervous system","GABAergic synapse",46354.6666666667,46047.3333333333,44820.2857142857,36536,4.66610283128823,4.65148431026711,4.66321391602613,4.56273288519131
38.6088033406388,17.6101935716511,"Cluster 3","NOD-like receptor signaling pathway","Organismal Systems","Immune system","NOD-like receptor signaling pathway",44422.6666666667,45892,43906.5714285714,36402,4.64761440174466,4.64253941650911,4.66174644821243,4.56113717567539
40.228300389994,17.5972031833951,"Cluster 3","AMPK signaling pathway","Environmental Information Processing","Signal transduction","AMPK signaling pathway",43662,45807.3333333333,43565.4285714286,36550,4.64011357192936,4.63915195940111,4.66094449091811,4.5628992633333
35.685366493805,13.6767855084431,"Cluster 3","Protein processing in endoplasmic reticulum","Genetic Information Processing","Folding, sorting and degradation","Protein processing in endoplasmic reticulum",39493.3333333333,39186.6666666667,39256.8571428571,38758,4.59653478730726,4.59392659031159,4.59314940525,4.58837256352619
38.5229213536565,15.4310447176926,"Cluster 3","Viral carcinogenesis","Human Diseases","Cancer: overview","Viral carcinogenesis",41451.3333333333,42550,41051.7142857143,35358,4.61754898181681,4.61334187668902,4.6289097709865,4.5484999740836
25.4550587343862,7.94678098280251,"Cluster 3","Biosynthesis of vancomycin group antibiotics","Metabolism","Metabolism of terpenoids and polyketides","Biosynthesis of vancomycin group antibiotics",37753.3333333333,32134,35790.2857142857,40870,4.57696680589233,4.55377729963589,4.50697830424642,4.61141526382289
45.5054183647881,10.6265929553891,"Cluster 3","Alcoholism","Human Diseases","Substance dependence","Alcoholism",37542,34790,35793.1428571429,33556,4.57452897343686,4.55381196706479,4.54146691188183,4.52578312791104
27.4693656919121,5.25930220637657,"Cluster 3","Carotenoid biosynthesis","Metabolism","Metabolism of terpenoids and polyketides","Carotenoid biosynthesis",34356.6666666667,30242.6666666667,32310.2857142857,32374,4.53602366190541,4.50935423958713,4.48063444280028,4.51020977708931
48.6030015199637,9.0245464115502,"Cluster 3","Biosynthesis of ansamycins","Metabolism","Metabolism of terpenoids and polyketides","Biosynthesis of ansamycins",33218,32580,33199.1428571429,35000,4.52138655463498,4.52113995243703,4.51296440986251,4.54408045258679
35.4683707118112,5.01659213962845,"Cluster 3","Other types of O-glycan biosynthesis","Metabolism","Glycan biosynthesis and metabolism","Other types of O-glycan biosynthesis",29653.3333333333,28348.6666666667,31377.4285714286,45636,4.47208816499356,4.49663119037119,4.45254795685579,4.65931708784372
47.4228924492067,9.45886737990787,"Cluster 3","Human papillomavirus infection","Human Diseases","Infectious disease: viral","Human papillomavirus infection",33854,35955.3333333333,33899.7142857143,27870,4.52962281813344,4.5302088488543,4.55577539790293,4.44515255129998
46.8884737786395,7.57292705825309,"Cluster 3","Limonene degradation","Metabolism","Metabolism of terpenoids and polyketides","Limonene degradation",35902,34514,33548.8571428571,23594,4.55513073908001,4.52569067525908,4.53800787772432,4.37281998167897
42.3208395779444,5.06471335840799,"Cluster 3","Phenazine biosynthesis","Metabolism","Biosynthesis of other secondary metabolites","Phenazine biosynthesis",34290,39402,34729.1428571429,22028,4.53518015026949,4.54070656971852,4.59552928867446,4.34299478292748
49.1961274935337,6.38653249255414,"Cluster 3","Spinocerebellar ataxia","Human Diseases","Neurodegenerative disease","Spinocerebellar ataxia",32160.6666666667,30222.6666666667,30894.8571428571,29114,4.50733854646265,4.48990024833679,4.48034715082043,4.46411679444404
50.7708304933218,5.83542737157248,"Cluster 3","Proximal tubule bicarbonate reclamation","Organismal Systems","Excretory system","Proximal tubule bicarbonate reclamation",32022,31209.3333333333,30785.4285714286,25804,4.50546201535389,4.4883593108037,4.4942984070522,4.41170386340597
37.5034692821565,5.47625977079185,"Cluster 3","Insulin signaling pathway","Organismal Systems","Endocrine system","Insulin signaling pathway",29553.3333333333,27605.3333333333,30149.7142857143,39572,4.47062116727414,4.4792976052546,4.44100872757923,4.59739897505903
30.8025496141101,3.27252243057958,"Cluster 3","Penicillin and cephalosporin biosynthesis","Metabolism","Biosynthesis of other secondary metabolites","Penicillin and cephalosporin biosynthesis",28779.3333333333,25844.6666666667,28023.1428571429,32290,4.45909581962105,4.44753233819455,4.41238773889955,4.50908149462252
41.0062431186022,2.5733677344209,"Cluster 3","Cardiac muscle contraction","Organismal Systems","Circulatory system","Cardiac muscle contraction",31380.6666666667,38934.6666666667,33284.8571428571,22048,4.49667600505446,4.52225974493258,4.59034761519952,4.34338889746235
43.0281335535311,4.61194127540977,"Cluster 3","alpha-Linolenic acid metabolism","Metabolism","Lipid metabolism","alpha-Linolenic acid metabolism",32306,37602.6666666667,32776.8571428571,19712,4.50929663168103,4.51558055809805,4.57523019427503,4.29475272191018
36.1259543329981,3.64845010058055,"Cluster 3","Polycomb repressive complex","Genetic Information Processing","Chromosome","Polycomb repressive complex",27275.3333333333,26737.3333333333,29053.1428571429,41334,4.43578598914694,4.46320806759431,4.42713433311688,4.61631794196379
48.6730873254404,4.83285953725648,"Cluster 3","Apoptosis - fly","Cellular Processes","Cell growth and death","Apoptosis - fly",33331.3333333333,32258.6666666667,31041.4285714286,20520,4.52286571625044,4.4919556904828,4.50865987558936,4.31219852037253
43.8683740536716,2.44037271273366,"Cluster 3","Chemical carcinogenesis - DNA adducts","Human Diseases","Cancer: overview","Chemical carcinogenesis - DNA adducts",32816,32480.6666666667,31652.2857142857,25676,4.51609887705235,4.50041879787688,4.51163830522327,4.4095442810964
46.8764534918865,4.55242321192332,"Cluster 3","Chlorocyclohexane and chlorobenzene degradation","Metabolism","Xenobiotics biodegradation and metabolism","Chlorocyclohexane and chlorobenzene degradation",30900.6666666667,27617.3333333333,29807.1428571429,33096,4.48998190352246,4.47433491893704,4.44119746692993,4.5197886299542
45.4447275719914,2.87926198480227,"Cluster 3","Hepatocellular carcinoma","Human Diseases","Cancer: specific types","Hepatocellular carcinoma",32907.3333333333,32420.6666666667,31354.2857142857,23496,4.51730588768892,4.4963107624889,4.51083533640799,4.37101241688384
35.3214214315674,1.12022693110869,"Cluster 3","Apoptosis","Cellular Processes","Cell growth and death","Apoptosis",32823.3333333333,28374.6666666667,29124.2857142857,20276,4.5161959142712,4.46427019441276,4.45294607376958,4.30700370116316
46.660168157026,0.877285163792033,"Cluster 3","Thyroid hormone synthesis","Organismal Systems","Endocrine system","Thyroid hormone synthesis",30134.6666666667,31536.6666666667,29333.1428571429,20318,4.47908080345125,4.46737340266479,4.49882955864168,4.30790233032602
43.8307043679089,-1.63033409287502,"Cluster 3","Degradation of flavonoids","Metabolism","Biosynthesis of other secondary metabolites","Degradation of flavonoids",26057.3333333333,33260.6666666667,29323.1428571429,27308,4.41594663519531,4.46722532657262,4.52194400694007,4.43630579745085
51.3333271604832,-3.52723842306426,"Cluster 3","Ribosome biogenesis in eukaryotes","Genetic Information Processing","Translation","Ribosome biogenesis in eukaryotes",26824,30100.6666666667,27646.8571428571,22754,4.42853973063799,4.44166147679456,4.47859054224161,4.35707683984241
48.6132147837423,-1.63714268727928,"Cluster 3","Ethylbenzene degradation","Metabolism","Xenobiotics biodegradation and metabolism","Ethylbenzene degradation",28162.6666666667,30118.6666666667,27402.2857142857,16972,4.4496891955495,4.43780263880695,4.4788501612329,4.22975861122137
50.2864956847502,-2.47055083840777,"Cluster 3","FoxO signaling pathway","Environmental Information Processing","Signal transduction","FoxO signaling pathway",26920,27970,26799.7142857143,22928,4.43009118803395,4.42814636888738,4.44670799324741,4.36038511430464
42.4681441390273,-4.93059850812092,"Cluster 3","Phosphotransferase system (PTS)","Environmental Information Processing","Membrane transport","Phosphotransferase system (PTS)",23137.3333333333,25472,25597.4285714286,33354,4.36433207327586,4.40821330579215,4.40608009560049,4.5231609449886
39.639258797213,-2.17107993100039,"Cluster 3","Insect hormone biosynthesis","Metabolism","Metabolism of terpenoids and polyketides","Insect hormone biosynthesis",27890.6666666667,26294.6666666667,25776,17876,4.44547446631015,4.41123237154107,4.41988418583532,4.25229464014445
37.9824236578584,-2.42375540493619,"Cluster 3","Axon regeneration","Organismal Systems","Development and regeneration","Axon regeneration",27135.3333333333,24626.6666666667,25398.5714285714,22504,4.4335511653326,4.40482638875471,4.39142326682106,4.3522790172745
48.7185627560316,-5.2679881878382,"Cluster 3","Carbapenem biosynthesis","Metabolism","Biosynthesis of other secondary metabolites","Carbapenem biosynthesis",25508.6666666667,26606,25703.7142857143,23582,4.40670478374609,4.41001278093881,4.42499590961736,4.37259905099538
43.8119658595444,-6.44731206858978,"Cluster 3","Viral life cycle - HIV-1","Genetic Information Processing","Information processing in viruses","Viral life cycle - HIV-1",25750.6666666667,28121.3333333333,24747.7142857143,11618,4.41080534214275,4.39355264193127,4.4490513516163,4.06516875170575
50.1039385959891,-7.6782638153511,"Cluster 3","Biosynthesis of type II polyketide products","Metabolism","Metabolism of terpenoids and polyketides","Biosynthesis of type II polyketide products",24640,25307.3333333333,24328.8571428571,20460,4.39165832872247,4.38613955889995,4.40326354587064,4.31092685537169
50.7560344084326,-6.41296651570042,"Cluster 3","Phenylpropanoid biosynthesis","Metabolism","Biosynthesis of other secondary metabolites","Phenylpropanoid biosynthesis",24560.6666666667,27044.6666666667,24816.5714285714,18900,4.39025783313598,4.39475928051588,4.43209769112422,4.27648478210938
49.2083497498308,-10.0837430944043,"Cluster 3","Nitrotoluene degradation","Metabolism","Xenobiotics biodegradation and metabolism","Nitrotoluene degradation",24535.3333333333,22596,23421.7142857143,22558,4.38980966303328,4.369637220839,4.35405078561077,4.35331984424271
44.8350091072299,-12.3767678459248,"Cluster 6","PI3K-Akt signaling pathway","Environmental Information Processing","Signal transduction","PI3K-Akt signaling pathway",21970.6666666667,22627.3333333333,22071.4285714286,20706,4.34186300169442,4.3438501200735,4.35465256761836,4.3161171834989
45.5708828319023,-9.22822164225449,"Cluster 3","Toluene degradation","Metabolism","Xenobiotics biodegradation and metabolism","Toluene degradation",23852,22446.6666666667,23286.5714285714,24110,4.3775430081774,4.36712419999176,4.35117120473996,4.38221522304753
44.9514319588988,-11.1474683775346,"Cluster 6","Ether lipid metabolism","Metabolism","Lipid metabolism","Ether lipid metabolism",21516,21234,21808.8571428571,24412,4.33278171986291,4.33865282090781,4.3270522653267,4.38762115112509
47.1658235816243,-11.9053667927713,"Cluster 6","Type II diabetes mellitus","Human Diseases","Endocrine and metabolic disease","Type II diabetes mellitus",22300,23230,22269.1428571429,19294,4.34832433770039,4.34772300292851,4.36606790481248,4.28544478290742
48.3377146710162,-8.7269791416494,"Cluster 3","Shigellosis","Human Diseases","Infectious disease: bacterial","Shigellosis",24324,23632.6666666667,23900.2857142857,23432,4.38605284894039,4.3784212634419,4.37353110587129,4.36982789252533
48.2655330308677,-10.22630835224,"Cluster 3","Longevity regulating pathway","Organismal Systems","Aging","Longevity regulating pathway",22964,24586,22895.4285714286,17618,4.36106644975394,4.35976774554151,4.39070554122637,4.24598125556262
32.8094375358609,-25.0254145040779,"Cluster 6","Glycosphingolipid biosynthesis - globo and isoglobo series","Metabolism","Glycan biosynthesis and metabolism","Glycosphingolipid biosynthesis - globo and isoglobo series",24058.6666666667,19763.3333333333,21372.2857142857,18140,4.38128960613641,4.32987129136828,4.29588216982811,4.2586612233256
34.2337459634604,-26.1941497973184,"Cluster 6","O-Antigen repeat unit biosynthesis","Metabolism","Glycan biosynthesis and metabolism","O-Antigen repeat unit biosynthesis",19988,16938,18976.5714285714,22058,4.3007910679878,4.27824063471647,4.22888776801942,4.3435858206914
36.9932587663161,-13.6756105567576,"Cluster 6","Various types of N-glycan biosynthesis","Metabolism","Glycan biosynthesis and metabolism","Various types of N-glycan biosynthesis",24220.6666666667,21888,21617.4285714286,12996,4.38420402316844,4.33482412220006,4.34022592125719,4.11384311893749
36.8439898847285,-23.0280649622054,"Cluster 6","Xylene degradation","Metabolism","Xenobiotics biodegradation and metabolism","Xylene degradation",21054.6666666667,18794.6666666667,19555.4285714286,17340,4.32336899665018,4.29128954608858,4.27405773438715,4.23907413823589
41.3159364792866,-18.7608941202513,"Cluster 6","Betalain biosynthesis","Metabolism","Biosynthesis of other secondary metabolites","Betalain biosynthesis",20494.6666666667,19836.6666666667,19329.4285714286,14312,4.31166204926612,4.28624148279954,4.29749058851449,4.15573067127859
43.0782961027788,-18.3731653064569,"Cluster 6","Zeatin biosynthesis","Metabolism","Metabolism of terpenoids and polyketides","Zeatin biosynthesis",19509.3333333333,20775.3333333333,19466.8571428571,15414,4.29026468936329,4.28931815068548,4.31756890445269,4.18794352906253
35.6046843265967,-25.2880010538829,"Cluster 6","Amphetamine addiction","Human Diseases","Substance dependence","Amphetamine addiction",19794,17037.3333333333,18505.1428571429,19042,4.29655550608822,4.26731591035654,4.2314271104109,4.2797353674105
32.5809731145066,-28.0297182197847,"Cluster 6","Dopaminergic synapse","Organismal Systems","Nervous system","Dopaminergic synapse",19799.3333333333,16860.6666666667,18450.8571428571,19176,4.2966725015549,4.26604008357394,4.22690049961035,4.28278066824913
